wp,activity,start_date,end_date,duration,start_time,end_time,step,note
Set 0 (a) - Prelimary tests,0.1 Cooling capacity (2000W),2021/05/10,2021/05/10,1,10:20,11:45,cooling capacity test,Use Room4; 2.1kW heater; setpoint = 22C; max flow rate = 600 chm; window sealed; lowest room temperature @25C
Set 0 (a) - Prelimary tests,0.2 Cooling capacity (1000W),2021/05/10,2021/05/10,1,11:45,14:35,cooling capacity test,Use Room4; 2.1kW heater; setpoint = 22C; max flow rate = 900 chm; window sealed;lowest room temperature @24.3C
Set 0 (a) - Prelimary tests,0.2 Cooling capacity (1000W),2021/05/10,2021/05/10,1,14:35,14:45,cooling capacity test,Use Room4; 1.05kW heater; setpoint = 22C; max flow rate = 900 chm; window sealed; lowest room temperature @22.7C
Set 1 - Air tightness & ventilation,1.0 Air tightness (free-float),2021/05/11,2021/05/11,1,11:40,12:00,background concentration test,
Set 1 - Air tightness & ventilation,1.0 Air tightness (free-float),2021/05/11,2021/05/11,1,12:07,15:08,decay test,15s injection of SF6; no fan; fan outlet sealed
Set 1 - Air tightness & ventilation,1.0 Air tightness (free-float),2021/05/11,2021/05/11,1,15:15,18:00,preparation for next experiment,"close door/open door, 70ppm to 1.4ppm, then close the door to mix them up"
Set 1 - Air tightness & ventilation,1.1 Air tightness (free-float),2021/05/11,2021/05/11,1,18:04,18:04,injection,"5s injection of SF6; with 3 desk fans; no AC, fan outlet sealed"
Set 1 - Air tightness & ventilation,1.1 Air tightness (free-float),2021/05/11,2021/05/11,1,18:04,19:34,decay test,34ppm to 24ppm
Set 1 - Air tightness & ventilation,1.1 Air tightness (free-float),2021/05/12,2021/05/12,1,9:30,11:29,preparation for next experiment,"open the door, take off the sealing/close the door, 24ppm to 0.1ppm, then close the door to mix them up"
Set 1 - Air tightness & ventilation,1.2 Air tightness (free-float),2021/05/12,2021/05/12,1,11:52,11:52,injection,"5s injection of SF6; with 3 desk fans; no AC, fan outlet unsealed"
Set 1 - Air tightness & ventilation,1.2 Air tightness (free-float),2021/05/12,2021/05/12,1,11:52,13:56,decay test,33ppm to 25ppm
Set 1 - Air tightness & ventilation,1.2 Air tightness (free-float),2021/05/12,2021/05/12,1,14:02,16:03,preparation for next experiment,"open the door, with 3 desk fans, with AC, heater 1040W; fan 34W, setpoint @24C; fan outlet unsealed; from 25ppm to 0.38ppm"
Set 1 - Air tightness & ventilation,1.3 Ventilation rate (1000W @ 24C),2021/05/12,2021/05/12,1,16:04,16:04,injection,"5s injection of SF6; with 3 desk fans; with AC, fan outlet unsealed; @24.8C"
Set 1 - Air tightness & ventilation,1.3 Ventilation rate (1000W @ 24C),2021/05/12,2021/05/12,1,16:04,18:04,decay test,"close door/open door, 33ppm to 0.87ppm, finished"
